player_id,name,position,team,bye_week,adp,projected_points,floor_points,ceiling_points,team_offense_rating,offensive_line_rating,role_security,injury_risk,upside_rating,opportunity_rating,high_value_usage_rating,competition_rating,efficiency_rating,receiving_role_rating,rushing_floor_rating,weekly_variance
qb-a,Demo QB Alpha,QB,AAA,9,12,344,305,382,0.90,0.80,0.95,0.05,0.85,0.95,0.85,0.95,0.90,0.50,0.80,0.22
qb-b,Demo QB Bravo,QB,BBB,7,17,326,292,365,0.80,0.70,0.90,0.08,0.80,0.92,0.82,0.92,0.86,0.50,0.65,0.30
qb-c,Demo QB Charlie,QB,CCC,11,23,306,278,346,0.65,0.65,0.85,0.05,0.70,0.88,0.78,0.88,0.80,0.50,0.82,0.40
qb-d,Demo QB Delta,QB,DDD,5,29,287,263,322,0.50,0.55,0.80,0.08,0.60,0.82,0.70,0.84,0.72,0.50,0.55,0.62
rb-a,Demo RB Alpha,RB,AAA,9,1,302,260,340,0.90,0.85,0.95,0.08,0.90
rb-b,Demo RB Bravo,RB,BBB,7,3,290,250,330,0.80,0.80,0.90,0.10,0.85
rb-c,Demo RB Charlie,RB,CCC,11,5,278,238,320,0.75,0.72,0.88,0.12,0.86
rb-d,Demo RB Delta,RB,DDD,5,7,267,228,312,0.70,0.75,0.84,0.13,0.80
rb-e,Demo RB Echo,RB,EEE,10,10,252,216,302,0.68,0.62,0.78,0.15,0.82
rb-f,Demo RB Foxtrot,RB,FFF,6,15,234,207,277,0.56,0.70,0.75,0.09,0.72
rb-g,Demo RB Golf,RB,GGG,12,22,211,180,264,0.48,0.50,0.62,0.18,0.76
rb-h,Demo RB Hotel,RB,HHH,8,30,190,168,232,0.42,0.45,0.58,0.14,0.65
wr-a,Demo WR Alpha,WR,AAA,9,2,296,260,338,0.90,0.80,0.94,0.05,0.88
wr-b,Demo WR Bravo,WR,BBB,7,4,285,249,326,0.80,0.70,0.90,0.07,0.84
wr-c,Demo WR Charlie,WR,CCC,11,6,275,240,317,0.75,0.65,0.88,0.06,0.83
wr-d,Demo WR Delta,WR,DDD,5,8,266,230,312,0.70,0.55,0.86,0.08,0.82
wr-e,Demo WR Echo,WR,EEE,10,11,250,218,298,0.68,0.62,0.80,0.06,0.80
wr-f,Demo WR Foxtrot,WR,FFF,6,16,232,204,278,0.56,0.70,0.74,0.08,0.73
wr-g,Demo WR Golf,WR,GGG,12,21,214,187,264,0.48,0.50,0.66,0.10,0.76
wr-h,Demo WR Hotel,WR,HHH,8,31,192,170,238,0.42,0.45,0.60,0.09,0.67
te-a,Demo TE Alpha,TE,AAA,9,9,246,210,291,0.90,0.80,0.92,0.06,0.88
te-b,Demo TE Bravo,TE,BBB,7,14,218,190,262,0.80,0.70,0.86,0.09,0.80
te-c,Demo TE Charlie,TE,CCC,11,24,181,158,228,0.75,0.65,0.76,0.07,0.72
te-d,Demo TE Delta,TE,DDD,5,32,158,140,198,0.70,0.55,0.68,0.10,0.66
k-a,Demo K Alpha,K,AAA,9,27,148,130,161,0.90,0.50,0.95,0.02,0.55
k-b,Demo K Bravo,K,BBB,7,28,143,126,158,0.80,0.50,0.95,0.02,0.52
k-c,Demo K Charlie,K,CCC,11,31,138,122,152,0.75,0.50,0.95,0.02,0.50
k-d,Demo K Delta,K,DDD,5,32,133,118,148,0.70,0.50,0.95,0.02,0.48
dst-a,Demo DST Alpha,DST,AAA,9,26,150,120,175,0.50,0.50,0.90,0.03,0.60
dst-b,Demo DST Bravo,DST,BBB,7,29,143,116,169,0.50,0.50,0.88,0.03,0.57
dst-c,Demo DST Charlie,DST,CCC,11,30,137,110,162,0.50,0.50,0.86,0.03,0.55
dst-d,Demo DST Delta,DST,DDD,5,32,130,106,154,0.50,0.50,0.84,0.03,0.53
